1,125,302,1
1,126,303,1
1,126,304,1
1,127,302,1
1,128,302,1
1,129,302,1
2,130,305,1
3,130,305,1
4,130,305,1
5,130,305,1
6,130,305,1
7,130,305,1
8,130,305,1
2,131,306,1
9,131,306,1
10,131,306,1
11,131,306,1
12,131,306,1
13,131,306,1
14,131,306,1
15,131,306,1
7,131,306,1
16,131,306,1
17,131,306,1
18,131,306,1
19,131,306,1
20,131,306,1
21,131,306,1
2,126,307,1
22,126,307,1
14,126,307,1
2,132,308,1
23,132,308,1
24,132,308,1
11,132,308,1
25,132,308,1
26,132,308,1
27,132,308,1
3,132,308,1
28,132,308,1
29,132,308,1
12,132,308,1
14,132,308,1
5,132,308,1
30,132,308,1
15,132,308,1
8,132,308,1
31,132,308,1
16,132,308,1
32,132,308,1
33,132,308,1
34,132,308,1
35,132,308,1
36,132,308,1
2,132,309,1
3,132,309,1
37,132,309,1
28,132,309,1
12,132,309,1
13,132,309,1
14,132,309,1
4,132,309,1
5,132,309,1
15,132,309,1
8,132,309,1
38,132,309,1
16,132,309,1
36,132,309,1
2,133,310,1
2,134,307,1
22,134,307,1
14,134,307,1
39,134,307,1
40,134,307,1
2,134,311,1
3,134,311,1
12,134,311,1
14,134,311,1
4,134,311,1
5,134,311,1
6,134,311,1
15,134,311,1
7,134,311,1
8,134,311,1
16,134,311,1
17,134,311,1
19,134,311,1
2,135,305,1
3,135,305,1
4,135,305,1
5,135,305,1
7,135,305,1
31,135,305,1
16,135,305,1
2,135,309,1
3,135,309,1
12,135,309,1
13,135,309,1
14,135,309,1
4,135,309,1
5,135,309,1
15,135,309,1
7,135,309,1
38,135,309,1
41,135,309,1
16,135,309,1
42,135,309,1
2,136,309,1
3,136,309,1
13,136,309,1
14,136,309,1
15,136,309,1
7,136,309,1
19,136,309,1
42,136,309,1
43,136,309,1
44,136,309,1
2,137,310,1
45,137,310,1
21,137,310,1
2,137,308,1
24,137,308,1
46,137,308,1
25,137,308,1
26,137,308,1
27,137,308,1
47,137,308,1
3,137,308,1
28,137,308,1
29,137,308,1
12,137,308,1
14,137,308,1
5,137,308,1
6,137,308,1
30,137,308,1
15,137,308,1
7,137,308,1
8,137,308,1
31,137,308,1
16,137,308,1
21,137,308,1
36,137,308,1
48,137,308,1
2,137,312,1
9,137,312,1
10,137,312,1
3,137,312,1
28,137,312,1
12,137,312,1
14,137,312,1
5,137,312,1
6,137,312,1
15,137,312,1
7,137,312,1
8,137,312,1
16,137,312,1
17,137,312,1
20,137,312,1
49,137,312,1
21,137,312,1
48,137,312,1
50,137,312,1
2,138,313,1
10,138,313,1
12,138,313,1
14,138,313,1
5,138,313,1
7,138,313,1
8,138,313,1
16,138,313,1
21,138,313,1
2,138,307,1
22,138,307,1
14,138,307,1
39,138,307,1
21,138,307,1
2,138,309,1
3,138,309,1
37,138,309,1
28,138,309,1
12,138,309,1
13,138,309,1
14,138,309,1
4,138,309,1
5,138,309,1
15,138,309,1
7,138,309,1
8,138,309,1
38,138,309,1
16,138,309,1
21,138,309,1
36,138,309,1
42,138,309,1
43,138,309,1
2,139,310,1
2,139,306,1
10,139,306,1
5,139,306,1
6,139,306,1
8,139,306,1
16,139,306,1
2,139,312,1
10,139,312,1
28,139,312,1
5,139,312,1
6,139,312,1
8,139,312,1
16,139,312,1
2,140,305,1
4,140,305,1
36,140,305,1
2,140,314,1
4,140,314,1
15,140,314,1
2,140,312,1
9,140,312,1
10,140,312,1
28,140,312,1
15,140,312,1
2,141,305,1
8,141,305,1
31,141,305,1
16,141,305,1
36,141,305,1
2,142,315,1
10,142,315,1
12,142,315,1
5,142,315,1
6,142,315,1
